"number"|"type"|"state"|"u_change_outcome"|"u_approval_requested"|"approval"|"short_description"|"description"|"assignment_group"|"cmdb_ci"|"u_request_window_exception"|"start_date"|"end_date"|"work_start"|"work_end"|"risk"|"u_user_impact"|"u_technical_impact"
"CHG0044763"|"Emergency"|"Closed"|"Implemented � Successful"|""|"Approved"|"IP Reclamation - Migrate SMTP related environments on the Citrix appliances to 68.181.x.x IP addressing"|"The following sites will be migrated on Friday evening at 10:00 PM

email_smtp_25
cal-pp_proxy_636
mymaillists_443
legacywebredirect"|"Firewall Services"|"cal-lb3"|"False"|"11/6/2020 22:00"|"11/6/2020 23:59"|"11/6/2020 22:00"|"11/6/2020 23:59"|"Medium"|"This change should be transparent to the users"|"Technical impact is that we will be able to reclaim more IP addresses in the 128.125.x.x IP address space. "
"CHG0044791"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Deploy a new floor switch CSC-2930-FL7 in CSC 123D."|"Deploy a new floor switch CSC-2930-FL7 in CSC 123D."|"Network Engineering"|"Network Engineering"|"False"|"11/6/2020 15:50"|"11/9/2020 18:50"|"11/10/2020 9:00"|"11/10/2020 11:15"|"Low"|"No user impact anticipated."|"Availability of additional ports per customer requirement."
"CHG0044743"|"Normal"|"Cancelled"|""|"11/4/2020 17:55"|"Requested"|"Change the IP address for server pxeroute.ics.usc.edu"|"As part of the ITS Network IP Reclamation project we have been tasked with reconfiguring  the following servers with new IP addresses because the addresses that are currently assigned to these servers will no longer be used by USC. The servers that are involved in this change request are part of the lab imaging process for Windows computers.  The process is exactly the same for each server. Their hostnames are:

pxeroute.ics.usc.edu
wdsdev.ics.usc.edu
smsss.ics.usc.edu
smsfsp.ics.usc.edu

The scope of he work includes Changing the IP address of each server listed above with its new IP address.

*The network Group has set a deadline of Thursday, November 6 for us to complete this project.
"|"Endpoint Engineering"|"pxeroute.ics"|"True"|"11/5/2020 22:00"|"11/5/2020 23:00"|""|""|"Medium"|"none"|"If the change is not made then the servers will no longer connect to the network and computer labs that are supported by these systems will no longer be able to image their Windows computers."
"CHG0044738"|"Normal"|"Cancelled"|""|"11/4/2020 17:55"|"Requested"|"Need to shutdown and decommission old license server ics-lic.ics,usc.edu"|"To accommodate the re-IP project I would like to shutdown our old 32 bit FLEXlm license server that is no longer being used. Ics-lic.ics.usc.edu  used to host several other license managers that have all been decommissioned or moved to newer servers. Also please note that this is an old 32 bit machine that has become quite useless.

Shutting down this server means one less server to re-IP, to manage and to backup. 

No users will be affected."|"Endpoint Engineering"|"ics-lic.ics"|"True"|"11/5/2020 22:00"|"11/5/2020 23:00"|""|""|"Medium"|"None"|"None"
"CHG0044780"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Decom vlans from RTR33"|"Decom vlans 76,171,86,87,88,89 from RTR33 (Legacy decom).


https://uscedu.sharepoint.com/:x:/r/sites/ITSNetworkEngineering/_layouts/15/Doc.aspx?sourcedoc=%7B6E0EA7F4-E216-4C75-8C90-9CCEF9D81EA6%7D&file=RTR33%20-%20Analysis.xlsx&action=default&mobileredirect=true

"|"Network Engineering"|"rtr33"|"False"|"11/5/2020 15:58"|"11/5/2020 16:58"|"11/5/2020 15:50"|"11/5/2020 15:55"|"Low"|"No user impact."|"Helps decom RTR33."
"CHG0044746"|"Standard"|"Pending"|""|""|"Approved"|"Please unrack and decommission jmc3-k10, jmc2-k10 and jmc-k10 from the network."|"
Hello Field Services,

The following devices in JMC have been already logically decommissioned.

Please unrack and decommission the following switches from JMC.

jmc3-k10
jmc2-k10
jmc-k10

Here are more details that'll be helpful during unracking.

************************************************************************************************************
hiphost:    jmc-k10.usc.edu
building:   JMC
room:       180
cpu:        enterasys-K10-chassis
serial:     435012125662635G
vendor:     enterasys
os:         enterasys k-8.11.04.0005
usctag:     ASSET07831

hiphost:    jmc2-k10.usc.edu
building:   JMC
room:       180
cpu:        enterasys-K10-chassis
serial:     435012125660635G
vendor:     enterasys
os:         enterasys k-8.11.04.0005
usctag:     ASSET07777

hiphost:    jmc3-k10.usc.edu
building:   JMC
room:       180
cpu:        enterasys-K10-chassis
serial:     435012125686635G
vendor:     enterasys
os:         enterasys k-8.11.04.0005
usctag:     ASSET07778

************************************************************************************************************
Please call me if needed.

Warm Regards
Raj
"|"Network Engineering"|"jmc-k10"|"False"|"11/5/2020 15:00"|"11/5/2020 16:30"|""|""|"Low"|"There should be no user impact, as all services should have been moved or turned down."|"Retirement of old hardware should improve service delivery and reduce costs for maintenance."
"CHG0044748"|"Normal"|"Pending"|""|"11/10/2020 13:12"|"Requested"|"Apply final hypercare updates to the OLF environment"|"OLF final hypercare Code Updates following Go-Live deployment of 3 new online forms for the Financial Aid Office.  The minor updates need to be available for applicants on 11/5/2020 prior to close of the QuestBridge applicant phase and for the next group of applicants entering the system in December .

Changes included in this update include the following:
OLF-1199	MIE form - missing questions in multiple screens
OLF-1245	NFS both forms - missing text in summary and pdf for question Money paid on your behalf
OLF-1324	PDF Formatting Fixes to allow full display of Text
OLF-1337	Parent Invite button should always be available to the student
OLF-1338	DMS session token not being passed to new OLF system for parent invite
OLF-1339	Current authentication time limits do not meet project's requirements
OLF-1341	Once student uses parent guest invite, system identifies the student as the parent in OLF system
OLF-1342	FML Image - FM Parent Number in College Count
OLF-1343	Authentication session length is too short
OLF-1350	For the NFS images we need two total amounts added to image
OLF-1354	FML form student birthdate stopped auto-populating
OLF-1355	Add the to NFS forms images - I am not required to file taxes this year text.
OLF-1256	Legacy MIE and FML images - For Reference
OLF-1357	MIE and NFS text updates and corrections
OLF-1358	Remove reference to 'LACK' on NFS PDF and Image
OLF-1359	FML Image - Add the FM Parent Family Count to the form's image
OLF-1361	FML Image - Convert all DOB answers from the FML form into Age of Individual
OLF-1362	FML Image - USC Count Requirements
OLF-1364	All Images/PDF - Make DOB into age as of Dec. 31st YYYY
OLF-1365	The images sent to DexFlow to be formatted like the Student PDF- all forms
OLF-1366	OLF Image/PDF Hotfix Finalization
OLF-1371	FML Logic for academic attendance - Unknown or NONE or Preschool
OLF-1372	Q2-24 Special Circumstances Response and Label Displayed twice on Image

Modules to be deployed include the following:
fao-olf-ui-web-lib-mie
fao-olf-app
fao-olf-ui-web-lib-nfs
fao-olf-ui-web-lib-forms
fao-portal-ui"|"Academic Technologies (Formerly AT-PAD)"|"DMS - Document Management System"|"True"|"11/5/2020 11:00"|"11/5/2020 13:00"|"11/5/2020 11:00"|"11/5/2020 12:55"|"Medium"|"Users may experience an outage of the web site for up to 90 minutes"|"none planned.  No updates to MongoDB nor to DMS "
"CHG0044664"|"Normal"|"Closed"|"Implemented � Successful"|"10/26/2020 11:03"|"Approved"|"please update LEI guest wired/ guest wireless dhcp scope settings that currently point to internal dns servers to public dns servers"|"requested by Director at Ellison , Danny Kim. please update the dhcp scope option DNS settings for LEI so that they no longer point to our USC internal DNS servers but to public dns servers as guest users need to resolve to public ip addresses for any internal resources
DHCP SCOPE for the change:
guest wired: 10.20.40.0 
guest wireless:10.20.4.0

update to the following DNS servers:
8.8.8.8, 4.2.2.2, 208.67.222.220"|"Wireless Services"|"DNS - USC Domain Name Service"|"True"|"11/4/2020 22:00"|"11/4/2020 23:59"|"11/4/2020 22:00"|"11/4/2020 22:15"|"Medium"|"No impact. Any guest users will need to renew dhcp ip to get the new dns servers."|"no technical impact."
"CHG0044769"|"Emergency"|"Closed"|"Implemented � with issues"|""|"Approved"|"Deploy Trojan Check v4.0"|"This change request is to deploy Trojan Check v4.0, which keeps existing functionality the same, but adds a beta/prototype for QR Code Scanning for the Daypass.  This beta is intended for use by the Coliseum for the upcoming football games (first one is Saturday, 11/7)."|"Web Development Support"|"Trojan Check"|"False"|"11/4/2020 22:00"|"11/4/2020 23:30"|"11/4/2020 22:10"|"11/4/2020 23:10"|"Medium"|"We expect there will be a brief 5 min outage when the update is deployed.

After the change:
Front-end users should see no difference.
Care Crew team should see an option to scan QR codes."|"Code to be deployed to: 
atweb-prd#.ics.usc.edu (1-6)
atapp-prd#.ics.usc.edu (1-3)
mssql-sql.usc.edu (database: AT / schema: covid)

Code Repos: 
https://github.com/uscapp/misc-return-to-work-ui
https://github.com/uscapp/misc-return-to-work-api"
"CHG0044771"|"Standard"|"Implemented � Successful"|"Implemented � Successful"|""|"Approved"|"Import CyberArk Platform ID:"|"I will be importing a CyberArk platform into vault.usc.edu.  It has been tested on vault-stage.usc.edu, and we are satisfied it works properly.  We have tested password verification, change, and reconcile, and any associated Connection Components.  It will initially be unused, and will be activated as accounts are assigned to this new platform."|"Identity Management"|"CyberVault"|"False"|"11/4/2020 15:15"|"11/4/2020 15:45"|"11/4/2020 16:30"|"11/4/2020 17:15"|"Low"|"When users are given accounts in this platform, they will be able to have target account passwords rotated. They may have new Connection Component options available like being able to launch an application on the PSM server."|"A new platform will be available for assigning to users."
"CHG0044740"|"Normal"|"Implemented � Successful"|"Implemented � Successful"|""|"Not Requested"|"Update the IP address for vault.usc.edu as part of the IP reclamation project. - Timing is requested by Compucom"|"We will migrate the IP address for vault.usc.edu on Wednesday morning at 6 am. The change should take ITS about 15 minutes to perform along with DNS propagation. Compucom will configure their side to make sure that their employees can reach vault.usc.edu and resources behind it for monitoring purposes. Compucom will test to ensure connectivity is in place."|"Firewall Services"|"cal-7050A-bfw"|"True"|"11/4/2020 6:00"|"11/4/2020 7:00"|"11/4/2020 6:00"|"11/4/2020 6:30"|"Medium"|"No impact to the user community. Vault may be unavailable for a few minutes while DNS is updated (internal only)"|"The IP address for vault will be moved to a 68.181.x.x IP and the OC will be able to reach vault going forward"
"CHG0044762"|"Emergency"|"Closed"|"Implemented � Successful"|""|"Approved"|"OUD to Kerberos Fix"|"There seems to be a problem with one of the OUD servers getting stuck on a secondary kerberos server.  It seems like there is a longer propagation time between master and slaves than the 15s it's supposed to be.  We have two fixes two address these issues.  We would like to get these put in, because users are having trouble with SSO after changing their passwords.  These are minor changes and will not cause a significant disruption in the ability for users to log in."|"Identity Management"|"Global Directory Service (GDS)"|"False"|"11/4/2020 0:00"|"11/4/2020 2:00"|"11/4/2020 0:00"|"11/4/2020 1:30"|"Low"|"Users will start connecting to the primary kerberos server so there will be no delay after changing their password.  Users will have failed password attempts retry on the master kerberos server if OUD is stuck to a secondary server."|"All failed password attempts will switch to master_kdc and retry once there."
"CHG0044756"|"Emergency"|"Closed"|"Implemented � with issues"|""|"Approved"|"Fail over GDS Master LDAP service"|"For patching a critical vulnerability, as well as validating once again that LDAP master service works from DR, we need to fail over gds-master.usc.edu from gds-master1.usc.edu to ari-gds-master1.usc.edu.  This has worked in the past and may not even need a CAB ticket due to the proven HA nature of this setup, but since it is rare and very important, we are doing a CAB."|"Identity Management"|"LDAP"|"False"|"11/3/2020 22:30"|"11/4/2020 14:00"|"11/3/2020 22:30"|"11/4/2020 14:00"|"Low"|"no user impact"|"simple loadbalancer update"
"CHG0044722"|"Normal"|"Closed"|"Implemented � Successful"|"10/27/2020 13:43"|"Approved"|"Modify Several Office 365 Email Security Settings for Deprecated Features (Patriot Report) "|"Per the 2019 Patriot Consulting Security Assessment the following settings will be changed.  These settings were reviewed and agreed with CISO Risk and Security Architecture on 10/13.
These changes are not expected to have end user impact.
1. Since no longer available in the new OWA experience, turn off Offline access in OWA default policy.
2. Disable individual users ability to create site mailboxes and connect them to SharePoint sites in the Default User Policy.
3. Disable MyMailSubscription role in End User Permissions which enables individual users to view and modify their e-mail subscription settings such as message format and protocol defaults.  This setting is related to the ability to manage other mailbox accounts and subscriptions through Outlook.  This feature called Connected Accounts was deprecated/removed from Outlook on the web in November, 2018 so no user impact is expected.
4. Turn off Outlook LinkedIn and Facebook Contact Sync.  This should have no end user impact because the Outlook social connector is no longer available in Outlook for Office 365."|"Enterprise Collaboration Team"|"Email"|"True"|"11/3/2020 14:00"|"11/3/2020 14:20"|"11/3/2020 14:00"|"11/3/2020 14:02"|"Low"|"No user impact."|"No technical impact."
"CHG0044751"|"Emergency"|"Closed"|"Implemented � Successful"|""|"Approved"|"Create missing ADS and GDS account record request"|"This change is created to handle INC0426904  in which create operation failed on multiple users. The affected users were created without GDS account record request and ADS account.

This change will  import a Rule and a Task to create the missing accounts on the identities"|"IAM Operations MSP"|"MyAccess"|"False"|"11/3/2020 14:00"|"11/3/2020 15:00"|"11/3/2020 14:00"|"11/3/2020 14:25"|"Low"|"No end user impact"|"Users with missing ADS and GDS records will be able to resume functionality in MyAccess"
"CHG0044759"|"Standard"|"Implemented � Successful"|"Implemented � Successful"|""|"Approved"|"Install the CPM plugins for CyberArk"|"Change is required to update custom connectors for specific systems being loaded into CyberArk to manage privileged access."|"Information Security Systems"|"CyberVault"|"False"|"11/3/2020 11:00"|"11/3/2020 11:15"|"11/3/2020 11:05"|"11/3/2020 11:10"|"Low"|"None since this deployment is just adding another Authentication method."|"The passwords for privilege access to network devices will be vaulted in the CyberArk system."
"CHG0044755"|"Standard"|"Implemented � Successful"|"Implemented � Successful"|""|"Approved"|"Patching ari-gds-master1 and gds-master1"|"Remove server from load balancer or HA configuration, patch, re-insert and repeat."|"Identity Management"|"ari-gds-master1.usc.edu"|"False"|"11/2/2020 22:03"|"11/2/2020 23:03"|""|""|"Low"|"Non expected"|"Improved security and performance"
"CHG0044752"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Change vlan tagging on CAL-5412-DA1:K1 to allow tagged 253 traffic"|"Adding, modifying and removing vlans is a requirement for business needs of the university and for the various schools which USC ITS supports.  These network needs can include growth, security,  redundancy, legacy environment removal and other  current events."|"Network Engineering"|"CAL-5412-DA1"|"False"|"11/2/2020 13:25"|"11/2/2020 13:55"|"11/2/2020 13:25"|"11/2/2020 13:35"|"Low"|"No user impact"|"Fulfillment of TASK0216150."
"CHG0044737"|"Emergency"|"Closed"|"Implemented � Successful"|""|"Approved"|"Security Patch Installation on BAM and the BDDS servers."|"A new security patch REL 231 was released which addresses few vulnerabilities affecting BAM and DNS/DHCP servers on version 9.2.0.

Topic: CHG0044737 - Security Patch Installation on BAM and the BDDS servers.
Time: Oct 31, 2020 10:00 PM Pacific Time (US and Canada)

Join Zoom Meeting
https://usc.zoom.us/j/96796810025?pwd=a09PZFFKM1ZkQWJnWVBERlQ2aWllUT09

Meeting ID: 967 9681 0025
Passcode: 868492
One tap mobile
+16699006833,,96796810025# US (San Jose)
+13462487799,,96796810025# US (Houston)"|"Firewall Services"|"ns5.usc.edu"|"False"|"10/31/2020 22:00"|"11/1/2020 2:00"|"10/31/2020 22:00"|"11/1/2020 0:44"|"Medium"|"During the installation process BAM console cannot be accessible for 5 - 10 minutes. Users may experience discrepancies  in DNS resolution for less than a minute. 
"|"Applying this patch will restart DNS service, resulting in a brief service interruption for a minute"
"CHG0044747"|"Standard"|"Pending"|""|""|"Approved"|"Remove object code 17500 from bursting report: SPA Assessment Unbillable Object Codes"|"Please remove object code 17500 from the bursting report - SPA Assessment Unbillable Object Codes, at below location:
https://eis-cognos-prod.usc.edu/ibmcognos/cgi-bin/cognos.cgi?b_action=xts.run&m=portal/cc.xts&m_folder=i40D272677BDD40A1B82A24FBCFD8F5B6#"|"Business Analytics"|"COGNOS"|"False"|"10/31/2020 15:38"|"11/1/2020 15:38"|""|""|"Low"|"Less than 50 users will be impacted during the implementation. No outage is required. Implementation will take less than 30 minutes and back-out will take less than 30 minutes."|"IT functional area required to ready this change for production is 1 support group. One resource is required to implement the change to production.  All components of the services/hardware/applications are monitored."
"CHG0044710"|"Standard"|"Implemented � Successful"|"Implemented � Successful"|""|"Approved"|"USC_IAM_MSP_Sailpoint_Servers_Patching_Activity_October_2020"|"Patching Sailpoint servers during maintenance windows with appropriate notification . Patching will be done in batches so that other batch of servers are available for users to reduce the down time."|"IAM Operations MSP"|"MyAccess"|"False"|"10/31/2020 5:00"|"10/31/2020 14:00"|"10/31/2020 7:11"|"10/31/2020 10:12"|"Low"|"No impact"|"Rolling Restart - No impact"
"CHG0044750"|"Standard"|"Implemented � Successful"|"Implemented � Successful"|""|"Approved"|"Monthly Patching of Operating System of all Single-Sign-On servers."|"The following NextGen SSO Servers in AWS will be patched by Deloitte Cloud Managed Service Team.

1) aws-fram-app1.usc.edu
2) aws-frds-app1.usc.edu
3) aws-froud-app1.usc.edu
4) aws-fram-app2.usc.edu
5) aws-frds-app2.usc.edu
6) aws-froud-app2.usc.edu

This is a monthly patching. 

AWS SSM Patch Manager will be used to apply patches."|"Identity Management"|"Shibboleth"|"False"|"10/31/2020 5:00"|"10/31/2020 16:00"|"10/31/2020 5:30"|"10/31/2020 7:46"|"Low"|"Very few users (less than 1 %) while trying to log into a Shibboleth service might receive an error while the servers are restarting for a brief moment. In such a case, they will have to retry their login attempt."|"Packages in the following servers will be updated.
1) aws-fram-app1.usc.edu
2) aws-frds-app1.usc.edu
3) aws-froud-app1.usc.edu
4) aws-fram-app2.usc.edu
5) aws-frds-app2.usc.edu
6) aws-froud-app2.usc.edu"
"CHG0044745"|"Emergency"|"Closed"|"Implemented � with issues"|""|"Approved"|"Migrate ESD servers to new IP addressing (IP Reclamation)"|"We need to change the IP addressing on a number of ESD Servers from 8-10 PM on Friday Evening.  Changes made to the ESD hosts and Firewall. 
List of servers is below.

esdhv1.esd.usc.edu
Hyper-V (but not sure what VM is specifically on them)
128.125.92.136
68.181.3.13

esdhv2.esd.usc.edu
Hyper-V (but not sure what VM is specifically on them)
128.125.92.137
68.181.3.14

esdhv3.esd.usc.edu
Hyper-V (but not sure what VM is specifically on them)
128.125.92.138
68.181.3.15

esdhv4.esd.usc.edu
Hyper-V (but not sure what VM is specifically on them)
128.125.92.203
68.181.3.16

esdhv6.esd.usc.edu
Hyper-V (but not sure what VM is specifically on them)
128.125.92.228
68.181.3.18

esdhv7.esd.usc.edu
Hyper-V (but not sure what VM is specifically on them)
128.125.92.229
68.181.3.19

esdhvcluster.esd.usc.edu
Hyper-V (but not sure what VM is specifically on them)
128.125.92.135
68.181.3.75

esdlbtest.esd.usc.edu
Load Balancers - Test (with Shib?)
128.125.92.195
68.181.3.77

esdrdcb.esd.usc.edu
Remote Desktop Broker Server
128.125.92.218
68.181.3.28

esdrdsh.esd.usc.edu
Remote Desktop Session Host
128.125.92.221
68.181.3.29

ESDRDWA
Remote Desktop Web Access Server
128.125.92.171
68.181.3.30

esdremote.esd.usc.edu
Remote Desktop
128.125.92.140
68.181.3.78

esdremote1.esd.usc.edu
Remote Desktop
128.125.92.189
68.181.3.31

esdremote2.esd.usc.edu
Remote Desktop
128.125.92.188
68.181.3.32

esdremote3.esd.usc.edu
Remote Desktop
128.125.92.217
68.181.3.33

savanna.esd.usc.edu
Domain Controller
128.125.92.149
68.181.3.83

sands.esd.usc.edu
Domain Controller
128.125.92.156
68.181.3.46

ISIS.esd.usc.edu
Domain Controller
128.125.92.154
68.181.3.39"|"Firewall Services"|"esdremote1"|"False"|"10/30/2020 20:00"|"10/31/2020 0:00"|"10/30/2020 20:00"|"10/30/2020 23:00"|"Medium"|"Transparent to the user community"|"ESD hosts will be migrated to the new 68.181.x.x IP space as part of IP Reclamation."
"CHG0044636"|"Normal"|"Pending"|""|"10/29/2020 15:27"|"Requested"|"Zoom New Feature : Closed captioning"|"Zoom Feature upgrade : Enable live transcription service to show transcript on the side panel in-meeting.

Currently, meeting hosts such as faculty and staff have the ability to turn on closed captioning in their meetings, but someone needs to type the captions out. This change will allow them to select automatic live closed captioning as an option. 

By enabling this change:
- We improve our ADA compliance and provide for a richer experience for hearing impaired students/meeting attendees.
- We avoid the cost of paying for 3rd party closed captioning services
- We avoid security concerns that arise from using 3rd party closed captioning services

Mike Massion"|"Zoom Support"|"Zoom"|"False"|"10/30/2020 18:00"|"10/30/2020 19:00"|""|""|"Medium"|"Zoom Host will have the ability to enable live transcription service to show transcript on the side panel in-meeting."|"Zoom now offers CC and Live transcription service to Zoom meetings. We will not need to PAY for third party services like REV or 3playmedia."
"CHG0044744"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"USC-DR Archiver update"|"Add 50 tapes to ltos-MPI-4kFS  pool"|"USC Digital Repository"|"dr-wb-mds1"|"False"|"10/30/2020 9:12"|"10/30/2020 9:30"|"10/30/2020 9:13"|"10/30/2020 9:15"|"Low"|"none"|"minor"
"CHG0044668"|"Normal"|"Closed"|"Implemented � with issues"|"10/27/2020 10:21"|"Approved"|"MailRoutingAddress update on Username change and  Change in logic for Pharmacy account disables"|"Enhancements  : 
1. Request to integrate Mailroutingaddress attribute from GDS-LDAP into MyAccess and update the attribute when username change workflow is triggered on an identity (High impact change requiring monitoring the effects of new attribute on GDS schema)
2.  Currently, when a role falls out of assignment logic (no longer matches home department codes or course codes for Pharmacy), MyAccess removes the user from the corresponding security group that is no longer being satisfied but it will disable the account only if the user is at that time not part of any security groups.
This logic has to be changed such that at the time when a user stops matching the fulfilment criteria required for Pharmacy AD, if he is not a part of at least one out of staff or faculty or student or studentWorker security groups, then MyAccess will disable their AD account.
"|"IAM Operations MSP"|"MyAccess"|"True"|"10/30/2020 2:00"|"10/30/2020 5:00"|"10/30/2020 2:10"|"10/30/2020 2:40"|"Low"|"No Impact"|"Mailroutingaddress  is updated when there is a username change for Identity.
Pharmacy accounts to be disabled when the user is not a part of any one of the four mentioned groups."
"CHG0044602"|"Normal"|"Closed"|"Implemented � Successful"|"10/15/2020 11:53"|"Approved"|"Update Border NAT IP addresses as part of the IP Reclamation project"|"When users on campus go to the Internet or need access to external resources on the border firewall, the IP address they are using can occasionally NAT to a 128.125.x.x IP address. We need to update the NAT IP addresses in use at the border to 68.181.x.x IP addressing. "|"Firewall Services"|"cal-7050A-bfw"|"True"|"10/29/2020 22:00"|"10/30/2020 2:00"|"10/29/2020 22:00"|"10/30/2020 23:30"|"Medium"|"Users should not see any change when accessing external resources"|"We will have eliminated the use of 128.125.0.0 externally on the border firewalls, which is needed for removing this network from USC"
"CHG0044739"|"Emergency"|"Closed"|"Implemented � Successful"|""|"Approved"|"Migrate ESD servers to new IP addressing (IP Reclamation) and update one ESD Load Balancer Virtual Server"|"We need to update the ESD Load Balancer for the esdweb server along with changing the IP addressing on a number of ESD Servers from 8-10 PM on Thursday Evening.  Changes made to the ESD hosts,  Load Balancers, and Firewall. 
List of servers is below.

datatut.esd.usc.edu
MS SQL Server
128.125.92.213
68.181.3.71
Microsoft SQL Cluster- No Source Code
Thursday
Chris
esd-t1mg.esd.usc.edu
 
128.125.92.161
68.181.3.72
not a server
Thursday
 
esd2.esd.usc.edu
File Share Server S:/U:
128.125.92.152
68.181.3.11
ESD File Server- No Source Code
Thursday
 
esddev1.esd.usc.edu
IR Web Dev Server
128.125.92.184
68.181.3.74
Arthur Aslanian
Thursday
 
esddevdata.esd.usc.edu
MS SQL Server Dev (datatut)
128.125.92.205
68.181.3.55
Stewart- Potential Multiple Users
Thursday
 
esdps.esd.usc.edu
Print Server (Network Printers)
128.125.92.200
68.181.3.27
No Source Code
Thursday
 
esdview1.esd.usc.edu
Raritan KVM
128.125.92.226
68.181.3.79
not a server
Thursday
 
etrans.esd.usc.edu
SFTP Server for Electronic Transcripts, DOE/ISIR, Imports to Dexflow, etc.
128.125.92.181
68.181.3.61
SFTP Server- 
Thursday
 
irit.esd.usc.edu
Institutional Research - IR Web Server
128.125.92.180
68.181.3.38
Arthur Aslanian
Thursday
 
itsfs.esd.usc.edu
File Share Server for USC Investment office, Terminal Server profiles
128.125.92.223
68.181.3.62
No Source Code
Thursday
 
mirage.esd.usc.edu
RightFax Server, HP DSS Server
128.125.92.144
68.181.3.64
Rightfax Server, HP DSS Server- No Source Code
Thursday
 
tut.esd.usc.edu
Related to datatut?
128.125.92.212
68.181.3.84
Chris Backstrand- Cluster Name
Thursday
 
tut1.esd.usc.edu
Related to datatut?
128.125.92.211
68.181.3.66
Chris Backstrand- Will Share DB Dump
Thursday
 
tut2.esd.usc.edu
Related to datatut?
128.125.92.210
68.181.3.67
Chris Backstrand - Will Share DB Dump
Thursday
 
ankh.esd.usc.edu
Dataflux
128.125.92.183
68.181.3.48
Can Move- Stewart
Thursday
 
dexapp.esd.usc.edu
Dexflow
128.125.92.206
68.181.3.49
Can Move- Stewart
Thursday
 
dexfs.esd.usc.edu
Dexflow
128.125.92.208
68.181.3.50
Can Move- Stewart
Thursday
 
dexiktest.esd.usc.edu
Dexflow TEST
128.125.92.134
68.181.3.51
Can Move- Stewart
Thursday
Moved
dexuser.esd.usc.edu
Dexflow
128.125.92.209
68.181.3.52
Can Move- Stewart
Thursday
 
dexweb.esd.usc.edu
Dexflow
128.125.92.207
68.181.3.53
Can Move- Stewart
Thursday
 
esdapp2.esd.usc.edu
Middleware (and more, potentially) - for Web Apps
128.125.92.185
68.181.3.54
Stewart- Ready to Move- Do not touch
Thursday
 
esdtest.esd.usc.edu
Web Environment TEST Env.  (esdweb)
128.125.92.168
68.181.3.58
Stewart- Ready to Move- Do not touch
Thursday
Moved
esdweb.esd.usc.edu
Web Environment PROD Env
128.125.92.142
68.181.3.80
Stewart- Ready to Move- Do not touch
Thursday
 
esdweb1.esd.usc.edu
Web Environment PROD Env
128.125.92.190
68.181.3.59
Stewart- Ready to Move- Do not touch
Thursday
 
esdweb2.esd.usc.edu
Web Environment PROD Env
128.125.92.182
68.181.3.60
Stewart- Ready to Move- Do not touch
Thursday
 "|"Firewall Services"|"esdlb1.esd.usc.edu"|"False"|"10/29/2020 20:00"|"10/29/2020 23:59"|"10/29/2020 20:00"|"10/29/2020 21:38"|"Medium"|"Transparent to the user community"|"ESD hosts will be migrated to the new 68.181.x.x IP space as part of IP Reclamation."
"CHG0044705"|"Normal"|"Closed"|"Implemented � Successful"|"10/26/2020 16:58"|"Approved"|"Migrate MyAccess to Forgerock"|"Currently, MyAccess is registered with Shibboleth as SP. We are migrating the MyAccess application to Forgerock for authentication and authorization. We will be updating IDP settings in MyAccess.
"|"IAM Operations MSP"|"MyAccess"|"True"|"10/29/2020 19:00"|"10/29/2020 20:00"|"10/29/2020 19:00"|"10/29/2020 19:12"|"Medium"|"Users might not be able to login into MyAccess using SSO momentarily (2-3 min) during the change. Affected users (IAM team and CSC)  will be notified. "|"MyAccess will use Forgerock for authentication and authorization."
"CHG0044736"|"Emergency"|"Closed"|"Implemented � with issues"|""|"Approved"|"Update Proxy settings on CyberArk servers"|"The PSM, web, and CPM machines in CyberArk make outgoing web calls to various websites.  This is mainly for things like password management of AWS or Azure accounts.  They don't necessarily have outbound access to internet sites, so they go through a proxy server called 128.125.255.147.  That IP address is changing, so we need to update the machines to use the new proxy server.  This time, they gave us an actual hostname for the proxy, proxy1.usc.edu.  So we're just changing the proxy server name in our servers.  It shouldn't cause a disruption or require end-users to do anything."|"IAM PAM Ops"|"CyberVault"|"False"|"10/29/2020 19:00"|"10/29/2020 22:00"|"10/29/2020 19:10"|"10/29/2020 20:22"|"Low"|"Users will continue to be able to use offsite passwords managed through CyberArk"|"Managing the proxy settings via .reg file is a new process."
"CHG0044742"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Onboard  MyAccess into ForgeRock for Single Sign-On"|"MyAccess is currently integrated with Shibboleth IdP for single sign-on.  This change will allow ForgeRock as the SSO platform for authentication and authorization for MyAccess, allowing  MyAccess to be de-scoped from Shibboleth IdP.
"|"Identity Management"|"Shibboleth Sign On"|"False"|"10/29/2020 16:00"|"10/29/2020 20:00"|"10/29/2020 17:10"|"10/29/2020 17:29"|"Low"|"No end user impact"|"Users will have the option to SSO using the new SSO solution (login.usc.edu), in addition to the legacy SSO (shibboleth.usc.edu).  Application will trust ForgeRock (login.usc.edu) for SAML 2.0-based SSO integration."
